Occupation,Number of workers,Median weekly earnings,Number of workers (M),Median weekly earnings  (M),Number of workers (F),Median weekly earnings (W)
Agricultural engineers,8.00,–,8.00,–,0.00,–
Bioengineers and biomedical engineers,15.00,–,15.00,–,1.00,–
Chemical engineers,76.00,1875.00,65.00,1915.00,12.00,–
Civil engineers,403.00,1633.00,334.00,1661.00,69.00,1531.00
Computer hardware engineers,86.00,2006.00,77.00,2083.00,9.00,–
Electrical and electronics engineers,286.00,1899.00,267.00,1910.00,19.00,–
Environmental engineers,32.00,–,20.00,–,12.00,–
"Industrial engineers, including health and safety",221.00,1648.00,161.00,1725.00,60.00,1571.00
Marine engineers and naval architects,15.00,–,15.00,–,0.00,–
Materials engineers,49.00,–,33.00,–,15.00,–
Mechanical engineers,329.00,1660.00,298.00,1732.00,31.00,–
"Mining and geological engineers, including mining safety engineers",9.00,–,6.00,–,3.00,–
Nuclear engineers,11.00,–,10.00,–,2.00,–
Petroleum engineers,11.00,–,8.00,–,3.00,–
"Engineers, all other",602.00,1771.00,505.00,1833.00,97.00,1549.00
Architectural and civil drafters,29.00,–,21.00,–,7.00,–
Other drafters,90.00,1280.00,66.00,1437.00,25.00,–
Electrical and electronic engineering technologists and technicians,62.00,1243.00,55.00,1261.00,7.00,–
"Other engineering technologists and technicians, except drafters",275.00,1245.00,222.00,1367.00,52.00,903.00
Surveying and mapping technicians,50.00,796.00,48.00,–,2.00,–
"Life, physical, and social science occupations",1391.00,1407.00,763.00,1496.00,627.00,1342.00
Agricultural and food scientists,30.00,–,16.00,–,14.00,–
Biological scientists,89.00,1317.00,46.00,–,42.00,–
Conservation scientists and foresters,19.00,–,12.00,–,7.00,–
Medical scientists,116.00,1662.00,57.00,2291.00,59.00,1368.00
"Life scientists, all other",8.00,–,3.00,–,5.00,–
Astronomers and physicists,19.00,–,13.00,–,6.00,–
Atmospheric and space scientists,9.00,–,6.00,–,3.00,–
Chemists and materials scientists,90.00,1647.00,62.00,1681.00,28.00,–
"Environmental scientists and specialists, including health",39.00,–,25.00,–,15.00,–
"Geoscientists and hydrologists, except geographers",42.00,–,31.00,–,11.00,–
"Physical scientists, all other",332.00,1738.00,193.00,1933.00,138.00,1500.00
Economists,20.00,–,12.00,–,8.00,–
Survey researchers,1.00,–,0.00,–,1.00,–
Clinical and counseling psychologists,4.00,–,1.00,–,3.00,–
School psychologists,51.00,1343.00,5.00,–,47.00,–
Other psychologists,56.00,1493.00,13.00,–,43.00,–
Sociologists,4.00,–,0.00,–,4.00,–
Urban and regional planners,21.00,–,11.00,–,10.00,–
Miscellaneous social scientists and related workers,47.00,–,23.00,–,24.00,–
Agricultural and food science technicians,37.00,–,28.00,–,9.00,–
Biological technicians,14.00,–,9.00,–,6.00,–
Chemical technicians,39.00,–,20.00,–,19.00,–
Environmental science and geoscience technicians,12.00,–,7.00,–,5.00,–
Nuclear technicians,4.00,–,4.00,–,0.00,–
Social science research assistants,5.00,–,2.00,–,3.00,–
"Other life, physical, and social science technicians",213.00,1093.00,114.00,1142.00,98.00,1059.00
Occupational health and safety specialists and technicians,70.00,1325.00,51.00,1388.00,19.00,–
Community and social service occupations,2276.00,1065.00,788.00,1164.00,1489.00,1016.00
Substance abuse and behavioral disorder counselors,110.00,969.00,41.00,–,69.00,911.00
"Educational, guidance, and career counselors and advisors",296.00,1091.00,69.00,1173.00,228.00,1077.00
Marriage and family therapists,26.00,–,4.00,–,22.00,–
Mental health counselors,139.00,1140.00,38.00,–,101.00,1133.00
Rehabilitation counselors,9.00,–,2.00,–,7.00,–
"Counselors, all other",181.00,953.00,75.00,1083.00,107.00,860.00
"Child, family, and school social workers",58.00,1012.00,11.00,–,46.00,–
Healthcare social workers,71.00,924.00,17.00,–,54.00,894.00
Mental health and substance abuse social workers,7.00,–,0.00,–,7.00,–
"Social workers, all other",601.00,1073.00,93.00,1232.00,508.00,1049.00
Probation officers and correctional treatment specialists,87.00,1247.00,42.00,–,45.00,–
Social and human service assistants,160.00,914.00,34.00,–,126.00,886.00
Other community and social service specialists,88.00,1111.00,19.00,–,69.00,1050.00
Clergy,339.00,1135.00,296.00,1152.00,43.00,–
"Directors, religious activities and education",45.00,–,26.00,–,19.00,–
"Religious workers, all other",60.00,937.00,20.00,–,39.00,–
Legal occupations,1401.00,1586.00,594.00,2233.00,807.00,1332.00
Lawyers,793.00,2252.00,462.00,2495.00,331.00,1912.00
Judicial law clerks,18.00,–,4.00,–,14.00,–
"Judges, magistrates, and other judicial workers",68.00,1652.00,28.00,–,40.00,–
Paralegals and legal assistants,361.00,1080.00,51.00,1229.00,310.00,1065.00
"Title examiners, abstractors, and searchers",89.00,1120.00,25.00,–,64.00,999.00
"Legal support workers, all other",72.00,1238.00,23.00,–,49.00,–
"Education, training, and library occupations",7124.00,1138.00,1877.00,1332.00,5248.00,1071.00
Postsecondary teachers,920.00,1550.00,460.00,1653.00,460.00,1483.00
Preschool and kindergarten teachers,471.00,780.00,16.00,–,455.00,771.00
Elementary and middle school teachers,3000.00,1163.00,625.00,1301.00,2375.00,1138.00
Secondary school teachers,860.00,1216.00,365.00,1269.00,495.00,1159.00
Special education teachers,338.00,1126.00,64.00,1198.00,275.00,1097.00
Tutors,12.00,–,3.00,–,9.00,–
Other teachers and instructors,389.00,1118.00,165.00,1260.00,224.00,1002.00
"Archivists, curators, and museum technicians",42.00,–,13.00,–,29.00,–
Librarians and media collections specialists,144.00,1131.00,29.00,–,115.00,1142.00
Library technicians,20.00,–,1.00,–,18.00,–
Teaching assistants,803.00,641.00,116.00,639.00,687.00,641.00
Other educational instruction and library workers,127.00,1271.00,20.00,–,107.00,1274.00
"Arts, design, entertainment, sports, and media occupations",1707.00,1229.00,925.00,1317.00,781.00,1145.00
Artists and related workers,87.00,1355.00,46.00,–,41.00,–
Commercial and industrial designers,10.00,–,7.00,–,3.00,–
Fashion designers,22.00,–,6.00,–,17.00,–
Floral designers,35.00,–,11.00,–,24.00,–
Graphic designers,180.00,1163.00,89.00,1151.00,91.00,1225.00
Interior designers,45.00,–,5.00,–,40.00,–
Merchandise displayers and window trimmers,17.00,–,7.00,–,10.00,–
Other designers,284.00,1402.00,185.00,1429.00,99.00,1271.00
Actors,11.00,–,5.00,–,6.00,–
Producers and directors,139.00,1369.00,78.00,1522.00,61.00,1347.00
Athletes and sports competitors,21.00,–,20.00,–,2.00,–
Coaches and scouts,110.00,913.00,81.00,1136.00,29.00,–
"Umpires, referees, and other sports officials",2.00,–,2.00,–,0.00,–
Dancers and choreographers,3.00,–,0.00,–,3.00,–
Music directors and composers,15.00,–,12.00,–,3.00,–
Musicians and singers,13.00,–,11.00,–,2.00,–
"Disc jockeys, except radio",3.00,–,2.00,–,1.00,–
"Entertainers and performers, sports and related workers, all other",9.00,–,8.00,–,1.00,–
Broadcast announcers and radio disc jockeys,12.00,–,7.00,–,4.00,–
"News analysts, reporters, and journalists",55.00,1036.00,22.00,–,33.00,–
Public relations specialists,113.00,1641.00,44.00,–,69.00,1615.00
Editors,63.00,1350.00,28.00,–,35.00,–
Technical writers,62.00,1540.00,31.00,–,31.00,–
Writers and authors,131.00,1239.00,49.00,–,82.00,1155.00
Interpreters and translators,52.00,993.00,13.00,–,39.00,–
Court reporters and simultaneous captioners,12.00,–,3.00,–,9.00,–
"Media and communication workers, all other",23.00,–,12.00,–,12.00,–
"Broadcast, sound, and lighting technicians",54.00,1370.00,50.00,1537.00,5.00,–
Photographers,59.00,858.00,45.00,–,14.00,–
"Television, video, and film camera operators and editors",63.00,1051.00,46.00,–,17.00,–
"Media and communication equipment workers, all other",3.00,–,3.00,–,0.00,–
Healthcare practitioners and technical occupations,7485.00,1273.00,1983.00,1516.00,5503.00,1218.00
Chiropractors,21.00,–,14.00,–,7.00,–
Dentists,76.00,2492.00,42.00,–,34.00,–
Dietitians and nutritionists,88.00,1184.00,10.00,–,78.00,1179.00
Optometrists,21.00,–,9.00,–,11.00,–
Pharmacists,245.00,2019.00,112.00,2010.00,133.00,2087.00
Emergency medicine physicians,21.00,–,17.00,–,4.00,–
Radiologists,21.00,–,18.00,–,2.00,–
Other physicians,714.00,2418.00,410.00,2647.00,304.00,2283.00
Surgeons,45.00,–,33.00,–,12.00,–
Physician assistants,126.00,1884.00,47.00,–,79.00,1855.00
Podiatrists,3.00,–,3.00,–,0.00,–
Audiologists,17.00,–,5.00,–,11.00,–
Occupational therapists,107.00,1467.00,23.00,–,84.00,1470.00
Physical therapists,203.00,1527.00,74.00,1551.00,129.00,1478.00
Radiation therapists,14.00,–,5.00,–,9.00,–
Recreational therapists,11.00,–,2.00,–,9.00,–
