Occupation,Number of workers,Median weekly earnings,Number of workers (M),Median weekly earnings  (M),Number of workers (F),Median weekly earnings (W)
"Natural resources, construction, and maintenance occupations",11182.00,919.00,10635.00,930.00,547.00,696.00
"Farming, fishing, and forestry occupations",800.00,623.00,651.00,637.00,149.00,585.00
"First-line supervisors of farming, fishing, and forestry workers",35.00,–,32.00,–,2.00,–
Agricultural inspectors,11.00,–,8.00,–,3.00,–
Animal breeders,6.00,–,3.00,–,4.00,–
"Graders and sorters, agricultural products",41.00,–,16.00,–,26.00,–
Miscellaneous agricultural workers,641.00,613.00,531.00,617.00,110.00,590.00
Fishing and hunting workers,16.00,–,15.00,–,1.00,–
Forest and conservation workers,12.00,–,9.00,–,2.00,–
Logging workers,38.00,–,37.00,–,1.00,–
Construction and extraction occupations,6171.00,904.00,5965.00,908.00,207.00,720.00
First-line supervisors of construction trades and extraction workers,545.00,1208.00,522.00,1213.00,24.00,–
Boilermakers,23.00,–,23.00,–,0.00,–
"Brickmasons, blockmasons, and stonemasons",77.00,867.00,74.00,868.00,3.00,–
Carpenters,830.00,850.00,801.00,864.00,29.00,–
"Carpet, floor, and tile installers and finishers",104.00,778.00,93.00,783.00,10.00,–
"Cement masons, concrete finishers, and terrazzo workers",63.00,917.00,63.00,917.00,0.00,–
Construction laborers,1503.00,766.00,1457.00,771.00,45.00,–
Construction equipment operators,334.00,992.00,326.00,990.00,8.00,–
"Drywall installers, ceiling tile installers, and tapers",133.00,704.00,128.00,709.00,4.00,–
Electricians,737.00,1060.00,720.00,1064.00,17.00,–
Glaziers,45.00,–,42.00,–,3.00,–
Insulation workers,30.00,–,29.00,–,1.00,–
Painters and paperhangers,360.00,741.00,340.00,759.00,20.00,–
Pipelayers,36.00,–,34.00,–,2.00,–
"Plumbers, pipefitters, and steamfitters",506.00,992.00,496.00,986.00,10.00,–
Plasterers and stucco masons,15.00,–,15.00,–,0.00,–
Reinforcing iron and rebar workers,9.00,–,9.00,–,0.00,–
Roofers,151.00,685.00,148.00,681.00,2.00,–
Sheet metal workers,115.00,979.00,111.00,988.00,4.00,–
Structural iron and steel workers,35.00,–,33.00,–,2.00,–
Solar photovoltaic installers,20.00,–,20.00,–,0.00,–
"Helpers, construction trades",63.00,691.00,60.00,701.00,3.00,–
Construction and building inspectors,65.00,988.00,58.00,1013.00,7.00,–
Elevator and escalator installers and repairers,37.00,–,33.00,–,4.00,–
Fence erectors,25.00,–,25.00,–,0.00,–
Hazardous materials removal workers,25.00,–,22.00,–,3.00,–
Highway maintenance workers,90.00,880.00,87.00,866.00,2.00,–
Rail-track laying and maintenance equipment operators,11.00,–,11.00,–,0.00,–
Septic tank servicers and sewer pipe cleaners,9.00,–,9.00,–,0.00,–
Miscellaneous construction and related workers,19.00,–,19.00,–,0.00,–
"Derrick, rotary drill, and service unit operators, oil and gas",20.00,–,20.00,–,0.00,–
"Excavating and loading machine and dragline operators, surface mining",4.00,–,4.00,–,0.00,–
"Earth drillers, except oil and gas",30.00,–,30.00,–,0.00,–
"Explosives workers, ordnance handling experts, and blasters",11.00,–,10.00,–,2.00,–
Underground mining machine operators,35.00,–,34.00,–,1.00,–
"Roustabouts, oil and gas",3.00,–,3.00,–,0.00,–
Other extraction workers,55.00,1160.00,55.00,1159.00,0.00,–
"Installation, maintenance, and repair occupations",4211.00,1017.00,4019.00,1023.00,192.00,836.00
"First-line supervisors of mechanics, installers, and repairers",217.00,1304.00,199.00,1335.00,18.00,–
"Computer, automated teller, and office machine repairers",148.00,1017.00,126.00,1058.00,23.00,–
Radio and telecommunications equipment installers and repairers,127.00,1225.00,121.00,1269.00,7.00,–
Avionics technicians,3.00,–,3.00,–,0.00,–
"Electric motor, power tool, and related repairers",17.00,–,17.00,–,0.00,–
"Electrical and electronics installers and repairers, transportation equipment",1.00,–,1.00,–,0.00,–
"Electrical and electronics repairers, industrial and utility",16.00,–,12.00,–,4.00,–
"Electronic equipment installers and repairers, motor vehicles",8.00,–,7.00,–,1.00,–
Audiovisual equipment installers and repairers,13.00,–,13.00,–,0.00,–
Security and fire alarm systems installers,63.00,1008.00,60.00,999.00,3.00,–
Aircraft mechanics and service technicians,152.00,1282.00,146.00,1297.00,6.00,–
Automotive body and related repairers,113.00,990.00,109.00,995.00,5.00,–
Automotive glass installers and repairers,24.00,–,23.00,–,1.00,–
Automotive service technicians and mechanics,651.00,906.00,636.00,909.00,15.00,–
Bus and truck mechanics and diesel engine specialists,318.00,996.00,312.00,993.00,5.00,–
Heavy vehicle and mobile equipment service technicians and mechanics,237.00,1122.00,234.00,1120.00,3.00,–
Small engine mechanics,36.00,–,34.00,–,2.00,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",75.00,781.00,73.00,786.00,2.00,–
Control and valve installers and repairers,15.00,–,15.00,–,0.00,–
"Heating, air conditioning, and refrigeration mechanics and installers",370.00,1009.00,367.00,1009.00,3.00,–
Home appliance repairers,30.00,–,27.00,–,3.00,–
Industrial and refractory machinery mechanics,426.00,1050.00,399.00,1056.00,27.00,–
"Maintenance and repair workers, general",556.00,958.00,527.00,978.00,29.00,–
"Maintenance workers, machinery",23.00,–,23.00,–,0.00,–
Millwrights,47.00,–,43.00,–,4.00,–
Electrical power-line installers and repairers,123.00,1219.00,122.00,1217.00,0.00,–
Telecommunications line installers and repairers,128.00,1078.00,120.00,1090.00,8.00,–
Precision instrument and equipment repairers,54.00,1150.00,47.00,–,7.00,–
Wind turbine service technicians,12.00,–,12.00,–,0.00,–
"Coin, vending, and amusement machine servicers and repairers",22.00,–,19.00,–,4.00,–
Commercial divers,0.00,–,0.00,–,0.00,–
Locksmiths and safe repairers,19.00,–,17.00,–,2.00,–
Manufactured building and mobile home installers,1.00,–,1.00,–,0.00,–
Riggers,7.00,–,7.00,–,0.00,–
"Helpers--installation, maintenance, and repair workers",18.00,–,16.00,–,2.00,–
"Other installation, maintenance, and repair workers",140.00,830.00,129.00,845.00,12.00,–
"Production, transportation, and material moving occupations",15590.00,774.00,12056.00,825.00,3535.00,638.00
Production occupations,7107.00,809.00,5251.00,884.00,1856.00,653.00
First-line supervisors of production and operating workers,738.00,1080.00,601.00,1138.00,137.00,796.00
"Aircraft structure, surfaces, rigging, and systems assemblers",8.00,–,6.00,–,2.00,–
"Electrical, electronics, and electromechanical assemblers",111.00,745.00,71.00,767.00,40.00,–
Engine and other machine assemblers,6.00,–,5.00,–,1.00,–
Structural metal fabricators and fitters,14.00,–,12.00,–,2.00,–
Other assemblers and fabricators,894.00,710.00,579.00,751.00,315.00,664.00
Bakers,143.00,614.00,57.00,664.00,86.00,599.00
"Butchers and other meat, poultry, and fish processing workers",236.00,718.00,189.00,742.00,47.00,–
"Food and tobacco roasting, baking, and drying machine operators and tenders",10.00,–,8.00,–,2.00,–
Food batchmakers,67.00,669.00,45.00,–,22.00,–
Food cooking machine operators and tenders,7.00,–,6.00,–,2.00,–
"Food processing workers, all other",136.00,734.00,84.00,818.00,52.00,648.00
Computer numerically controlled tool operators and programmers,83.00,1036.00,79.00,1036.00,5.00,–
"Forming machine setters, operators, and tenders, metal and plastic",23.00,–,21.00,–,2.00,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",63.00,746.00,44.00,–,19.00,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",26.00,–,22.00,–,4.00,–
"Other machine tool setters, operators, and tenders, metal and plastic",7.00,–,7.00,–,0.00,–
Machinists,295.00,914.00,284.00,916.00,10.00,–
"Metal furnace operators, tenders, pourers, and casters",17.00,–,17.00,–,0.00,–
"Model makers and patternmakers, metal and plastic",2.00,–,2.00,–,0.00,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",34.00,–,28.00,–,7.00,–
Tool and die makers,44.00,–,43.00,–,1.00,–
"Welding, soldering, and brazing workers",506.00,904.00,482.00,907.00,24.00,–
Other metal workers and plastic workers,340.00,769.00,276.00,783.00,64.00,731.00
Prepress technicians and workers,13.00,–,10.00,–,3.00,–
Printing press operators,130.00,839.00,111.00,869.00,19.00,–
Print binding and finishing workers,6.00,–,6.00,–,0.00,–
Laundry and dry-cleaning workers,88.00,511.00,29.00,–,59.00,492.00
"Pressers, textile, garment, and related materials",13.00,–,9.00,–,4.00,–
Sewing machine operators,94.00,572.00,27.00,–,67.00,560.00
Shoe and leather workers,11.00,–,7.00,–,3.00,–
"Tailors, dressmakers, and sewers",25.00,–,4.00,–,20.00,–
"Textile machine setters, operators, and tenders",6.00,–,4.00,–,2.00,–
Upholsterers,17.00,–,11.00,–,6.00,–
"Other textile, apparel, and furnishings workers",9.00,–,3.00,–,6.00,–
Cabinetmakers and bench carpenters,57.00,788.00,53.00,782.00,3.00,–
Furniture finishers,6.00,–,4.00,–,2.00,–
"Sawing machine setters, operators, and tenders, wood",18.00,–,16.00,–,2.00,–
"Woodworking machine setters, operators, and tenders, except sawing",15.00,–,12.00,–,2.00,–
Other woodworkers,12.00,–,10.00,–,1.00,–
"Power plant operators, distributors, and dispatchers",34.00,–,34.00,–,0.00,–
Stationary engineers and boiler operators,64.00,1184.00,57.00,1175.00,7.00,–
Water and wastewater treatment plant and system operators,94.00,960.00,86.00,965.00,8.00,–
Miscellaneous plant and system operators,32.00,–,32.00,–,0.00,–
"Chemical processing machine setters, operators, and tenders",65.00,969.00,53.00,979.00,12.00,–
"Crushing, grinding, polishing, mixing, and blending workers",69.00,838.00,59.00,856.00,9.00,–
Cutting workers,51.00,775.00,43.00,–,8.00,–
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",24.00,–,17.00,–,7.00,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",10.00,–,5.00,–,4.00,–
"Inspectors, testers, sorters, samplers, and weighers",750.00,883.00,466.00,1005.00,283.00,733.00
Jewelers and precious stone and metal workers,21.00,–,13.00,–,7.00,–
Dental and ophthalmic laboratory technicians and medical appliance technicians,50.00,692.00,22.00,–,28.00,–
Packaging and filling machine operators and tenders,251.00,671.00,133.00,755.00,118.00,605.00
Painting workers,134.00,822.00,124.00,893.00,10.00,–
Photographic process workers and processing machine operators,21.00,–,12.00,–,10.00,–
Adhesive bonding machine operators and tenders,14.00,–,11.00,–,3.00,–
Etchers and engravers,1.00,–,1.00,–,1.00,–
"Molders, shapers, and casters, except metal and plastic",17.00,–,15.00,–,3.00,–
"Paper goods machine setters, operators, and tenders",8.00,–,5.00,–,3.00,–
Tire builders,8.00,–,8.00,–,0.00,–
Helpers--production workers,32.00,–,22.00,–,10.00,–
Other production equipment operators and tenders,5.00,–,4.00,–,1.00,–
Other production workers,1022.00,761.00,742.00,809.00,280.00,630.00
Transportation and material moving occupations,8483.00,738.00,6804.00,786.00,1679.00,624.00
Supervisors of transportation and material moving workers,310.00,996.00,241.00,1077.00,68.00,779.00
Aircraft pilots and flight engineers,115.00,1913.00,113.00,1912.00,2.00,–
Air traffic controllers and airfield operations specialists,28.00,–,28.00,–,0.00,–
Flight attendants,77.00,859.00,30.00,–,47.00,–
"Ambulance drivers and attendants, except emergency medical technicians",6.00,–,5.00,–,0.00,–
"Bus drivers, school",125.00,710.00,57.00,712.00,69.00,695.00
"Bus drivers, transit and intercity",182.00,801.00,111.00,942.00,71.00,679.00
Driver/sales workers and truck drivers,2680.00,920.00,2499.00,933.00,181.00,732.00
Shuttle drivers and chauffeurs,29.00,–,27.00,–,2.00,–
Taxi drivers,148.00,678.00,138.00,690.00,10.00,–
"Motor vehicle operators, all other",94.00,723.00,80.00,745.00,15.00,–
Locomotive engineers and operators,41.00,–,38.00,–,3.00,–
Railroad conductors and yardmasters,38.00,–,37.00,–,1.00,–
Other rail transportation workers,13.00,–,10.00,–,3.00,–
Sailors and marine oilers,17.00,–,17.00,–,0.00,–
Ship and boat captains and operators,17.00,–,17.00,–,0.00,–
Ship engineers,2.00,–,2.00,–,0.00,–
Parking attendants,47.00,–,40.00,–,7.00,–
Transportation service attendants,70.00,630.00,67.00,629.00,3.00,–
Transportation inspectors,34.00,–,27.00,–,7.00,–
Passenger attendants,6.00,–,5.00,–,1.00,–
Other transportation workers,28.00,–,23.00,–,5.00,–
Crane and tower operators,53.00,1047.00,53.00,1047.00,0.00,–
"Conveyor, dredge, and hoist and winch operators",28.00,–,25.00,–,3.00,–
Industrial truck and tractor operators,581.00,743.00,526.00,746.00,55.00,713.00
Cleaners of vehicles and equipment,215.00,590.00,173.00,589.00,42.00,–
"Laborers and freight, stock, and material movers, hand",1649.00,689.00,1294.00,703.00,355.00,624.00
Machine feeders and offbearers,16.00,–,9.00,–,7.00,–
"Packers and packagers, hand",541.00,614.00,233.00,633.00,308.00,603.00
Stockers and order fillers,1151.00,612.00,752.00,620.00,400.00,603.00
Pumping station operators,15.00,–,15.00,–,0.00,–
Refuse and recyclable material collectors,63.00,728.00,59.00,707.00,3.00,–
Other material moving workers,62.00,777.00,55.00,775.00,8.00,–
