HDI rank,Country,Gender Inequality Index (Value),Gender Inequality Index (Rank),Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,Population with at least some secondary education (F),Population with at least some secondary education (M),Labour force participation rate (F),Labour force participation rate (M),Human Development Index (F),Human Development Index (M),Life expectancy at birth (F),Life expectancy at birth (M) ,Expected years of schooling (F),Expected years of schooling (M),Mean years of schooling (F),Mean years of schooling (M),Estimated  gross national income per capita (F),Estimated  gross national income per capita (M)
32,Czechia,0.120,34,3,9.7,22.1,99.8,99.8,51.7,68.1,0.884,0.893,80.9,74.7,16.8,15.7,12.7,13.0,"30,455","47,289"
33,Greece,0.119,32,3,8.5,21.7,69.9,77.8,43.3,58.1,0.872,0.900,82.9,77.5,20.1,20.0,11.1,11.7,"22,890","35,368"
34,Poland,0.109,31,2,9.7,27.5,86.5,90.7,49.2,65.5,0.878,0.872,80.4,72.6,16.8,15.3,13.3,13.0,"25,261","41,336"
35,Bahrain,0.181,46,14,8.7,18.8,79.9,83.1,42.4,83.5,0.829,0.894,80.0,77.8,17.0,15.9,10.8,11.2,"16,786","53,359"
35,Lithuania,0.105,30,8,10.4,27.7,95.5,97.9,57.3,67.9,0.888,0.862,78.8,68.8,16.7,15.9,13.6,13.4,"33,891","42,500"
35,Saudi Arabia,0.247,59,17,11.9,19.9,71.3,80.9,30.9,80.1,0.826,0.901,78.8,75.6,16.2,16.1,10.7,11.7,"20,678","64,708"
38,Portugal,0.067,15,8,7.4,40.0,59.7,61.9,54.0,62.2,0.863,0.867,84.1,77.8,17.0,16.7,9.6,9.5,"28,713","38,127"
39,Latvia,0.151,40,19,11.2,29.0,99.7,99.3,54.5,66.8,0.873,0.852,77.8,69.2,16.8,15.6,13.6,12.9,"27,882","38,506"
40,Andorra,..,..,..,5.9,46.4,70.7,72.4,..,..,..,..,84.3,77.2,..,..,10.5,10.6,..,..
40,Croatia,0.093,26,8,8.6,31.1,97.0,100.0,45.9,58.8,0.855,0.859,81.1,74.2,15.9,14.4,11.9,12.5,"23,888","36,713"
42,Chile,0.187,47,13,24.1,32.7,80.3,83.5,44.2,65.5,0.838,0.867,81.4,76.5,17.0,16.5,10.8,11.0,"17,553","31,677"
42,Qatar,0.220,54,9,7.1,4.4,79.8,69.6,57.2,95.5,0.866,0.850,80.9,78.3,14.5,12.1,11.6,9.6,"42,101","104,066"
44,San Marino,..,..,..,3.8,33.3,81.8,84.3,..,..,..,..,83.5,78.4,11.8,12.8,10.9,10.7,..,..
45,Slovakia,0.180,45,5,26.3,22.7,98.9,99.2,54.7,66.4,0.847,0.848,78.4,71.5,15.0,14.0,12.9,13.0,"24,849","36,813"
46,Hungary,0.221,55,12,22.1,13.1,97.6,98.8,52.1,67.2,0.840,0.851,77.9,71.1,15.3,14.8,12.1,12.4,"25,909","40,262"
47,Argentina,0.287,69,39,39.1,44.4,71.0,71.4,50.0,71.6,0.833,0.836,78.6,72.2,19.2,16.6,11.4,10.9,"15,581","26,376"
48,Türkiye,0.272,65,17,16.9,17.3,56.3,75.9,31.8,69.4,0.806,0.860,79.1,73.0,17.9,18.8,7.9,9.4,"19,079","42,929"
49,Montenegro,0.119,32,6,10.4,24.7,92.3,99.2,47.8,62.0,0.823,0.840,79.8,73.0,15.6,14.6,11.8,12.6,"15,935","26,001"
50,Kuwait,0.305,74,12,5.6,1.5,60.9,55.2,47.4,83.8,0.831,0.824,81.5,77.2,17.0,13.9,8.1,6.9,"28,086","68,827"
51,Brunei Darussalam,0.259,61,31,10.0,9.1,70.4,71.2,54.1,72.3,0.819,0.833,76.9,72.6,14.4,13.5,9.2,9.2,"47,579","80,261"
52,Russian Federation,0.203,50,17,15.0,16.5,92.8,95.9,54.5,69.7,0.828,0.815,74.8,64.2,16.0,15.6,12.8,12.8,"21,857","33,288"
53,Romania,0.282,67,19,36.4,18.5,88.8,93.7,42.8,62.3,0.819,0.823,77.9,70.6,14.7,13.8,11.0,11.6,"24,554","35,874"
54,Oman,0.300,72,19,9.9,9.9,96.6,99.9,28.7,85.0,0.752,0.835,74.7,71.0,15.0,14.5,12.1,11.4,"7,169","39,717"
55,Bahamas,0.329,78,70,25.7,20.0,87.0,89.9,65.6,71.5,..,..,75.1,68.1,..,..,12.7,12.6,"25,897","35,495"
56,Kazakhstan,0.161,41,10,21.9,24.5,99.8,100.0,63.3,75.5,0.809,0.811,73.1,65.5,16.0,15.5,12.4,12.3,"18,976","29,305"
57,Trinidad and Tobago,0.344,81,67,38.1,32.4,84.8,80.6,46.7,68.0,0.801,0.814,76.4,69.7,14.8,14.2,11.7,11.5,"16,794","30,166"
58,Costa Rica,0.256,60,27,37.1,45.6,56.2,54.5,47.5,71.1,0.806,0.810,79.8,74.4,17.1,16.0,8.9,8.7,"16,568","23,376"
58,Uruguay,0.235,58,17,36.2,26.2,59.6,55.5,54.8,69.3,0.812,0.795,79.3,71.7,17.3,15.4,9.3,8.7,"17,125","25,680"
60,Belarus,0.104,29,2,11.9,34.7,97.5,99.0,57.3,71.4,0.812,0.803,77.7,67.3,15.3,15.0,12.2,12.1,"15,158","23,165"
61,Panama,0.392,96,52,69.9,22.5,70.2,68.7,50.4,72.6,0.812,0.798,79.6,73.0,13.6,12.5,10.8,10.3,"23,380","30,531"
62,Malaysia,0.228,57,29,9.3,14.9,75.0,78.4,51.2,77.6,0.794,0.809,77.4,72.7,13.8,12.9,10.6,10.7,"20,672","32,380"
63,Georgia,0.280,66,25,31.7,19.3,97.1,98.3,51.0,68.0,0.803,0.798,76.7,66.8,15.9,15.2,12.9,12.8,"11,285","18,472"
63,Mauritius,0.347,82,61,24.6,20.0,64.4,70.8,43.4,70.4,0.789,0.811,76.8,70.4,15.9,14.5,10.0,10.9,"15,016","29,221"
63,Serbia,0.131,36,12,14.9,39.2,88.6,95.3,46.6,62.3,0.794,0.808,77.2,71.2,15.0,13.9,11.0,11.8,"15,306","23,270"
66,Thailand,0.333,79,37,32.7,13.9,47.6,51.7,59.0,75.0,0.805,0.796,83.0,74.5,16.2,15.6,8.6,8.8,"15,457","18,694"
67,Albania,0.144,39,15,14.5,35.7,95.4,93.0,50.7,66.2,0.799,0.794,79.2,74.1,15.3,13.7,11.7,10.9,"11,637","16,630"
68,Bulgaria,0.210,52,10,38.6,23.8,94.9,96.5,49.1,62.6,0.792,0.796,75.5,68.4,14.2,13.6,11.5,11.3,"18,109","28,357"
68,Grenada,..,..,25,32.7,32.1,..,..,..,..,..,..,77.9,72.2,19.3,18.1,..,..,..,..
70,Barbados,0.268,64,27,42.3,29.4,95.4,86.0,56.1,63.7,0.799,0.773,79.4,75.6,17.7,13.8,10.3,9.1,"10,235","14,555"
71,Antigua and Barbuda,..,..,42,33.1,31.4,..,..,..,..,..,..,80.9,75.8,15.2,13.2,..,..,..,..
72,Seychelles,..,..,53,53.4,22.9,..,..,..,..,..,..,75.7,67.7,15.1,12.9,10.2,10.4,..,..
73,Sri Lanka,0.383,92,36,15.7,5.4,84.0,84.2,30.9,68.5,0.755,0.795,79.5,73.1,14.5,13.8,10.8,10.8,"7,005","18,573"
74,Bosnia and Herzegovina,0.136,38,10,9.9,24.6,82.7,94.0,32.3,52.4,0.754,0.802,77.5,73.1,14.1,13.5,9.8,11.4,"10,709","19,917"
75,Saint Kitts and Nevis,..,..,..,38.2,25.0,..,..,..,..,..,..,75.3,68.3,16.0,14.9,..,..,..,..
76,Iran (Islamic Republic of),0.459,115,16,30.2,5.6,71.6,76.0,14.4,68.1,0.704,0.800,76.8,71.2,14.7,14.5,10.6,10.7,"3,767","22,041"
77,Ukraine,0.200,49,19,15.6,20.8,96.2,95.8,48.1,63.6,0.776,0.766,76.7,66.5,15.0,14.9,11.5,10.7,"10,370","16,605"
78,North Macedonia,0.134,37,7,16.4,41.7,61.9,75.1,42.4,63.4,0.746,0.789,76.2,71.7,13.9,13.4,9.7,10.8,"11,147","20,716"
79,China,0.192,48,29,11.0,24.9,78.3,85.4,61.6,74.3,0.761,0.773,81.2,75.5,14.8,13.7,7.3,7.9,"13,980","20,883"
80,Dominican Republic,0.429,106,95,65.6,25.7,77.4,76.9,49.6,75.2,0.772,0.761,76.3,69.3,15.4,13.6,9.6,9.0,"13,695","22,248"
80,Moldova (Republic of),0.205,51,19,27.8,39.6,96.1,98.0,33.9,43.9,0.771,0.763,73.5,64.4,14.8,14.1,11.9,11.8,"12,087","17,961"
80,Palau,..,..,..,42.5,6.9,96.9,97.3,..,..,..,..,70.6,62.4,16.0,15.5,..,..,..,..
83,Cuba,0.303,73,36,48.8,53.4,89.5,91.9,40.3,68.5,0.745,0.775,76.4,71.2,15.1,13.8,12.6,12.4,"5,103","10,693"
84,Peru,0.380,90,88,56.8,40.0,59.3,69.9,66.1,81.9,0.742,0.781,74.7,70.1,15.2,15.5,9.3,10.5,"9,813","14,727"
85,Armenia,0.216,53,26,18.5,33.6,96.0,97.1,42.7,63.0,0.757,0.756,77.4,66.6,13.8,12.5,11.3,11.3,"8,736","18,558"
86,Mexico,0.309,75,33,54.4,49.8,65.1,66.7,43.8,75.4,0.753,0.761,74.9,66.1,15.2,14.5,9.1,9.4,"12,456","23,600"
87,Brazil,0.390,94,60,45.2,14.8,62.4,59.1,49.1,68.2,0.750,0.755,76.0,69.6,16.0,15.2,8.3,7.9,"10,903","17,960"
88,Colombia,0.424,102,83,59.0,19.6,58.9,56.5,52.2,78.0,0.744,0.756,76.4,69.4,14.7,14.2,9.0,8.7,"10,281","18,599"
89,Saint Vincent and the Grenadines,0.390,94,68,47.9,18.2,44.1,39.6,52.9,74.1,0.739,0.761,72.4,67.4,14.9,14.5,10.9,10.7,"8,720","15,075"
90,Maldives,0.348,83,53,7.3,4.6,46.4,41.5,34.3,67.5,0.709,0.766,81.0,79.1,14.2,11.9,7.1,7.5,"6,359","22,119"
91,Algeria,0.499,126,112,11.7,7.5,46.0,56.9,15.7,64.5,0.680,0.773,78.0,74.9,15.3,14.0,7.7,8.4,"3,550","17,787"
91,Azerbaijan,0.294,70,26,40.1,18.2,93.6,97.6,60.4,67.3,0.734,0.753,73.3,65.6,13.6,13.4,10.2,10.9,"10,536","18,076"
91,Tonga,0.631,160,52,19.0,0.0,93.5,93.1,37.3,55.3,0.728,0.754,73.7,68.4,16.3,15.7,11.5,11.2,"4,842","8,845"
91,Turkmenistan,0.177,43,7,21.8,25.0,93.5,92.2,36.5,55.6,0.726,0.760,72.7,65.9,13.0,13.4,10.9,11.6,"9,227","16,884"
95,Ecuador,0.362,85,59,63.2,39.4,53.0,52.0,53.3,76.5,0.731,0.745,77.5,70.3,14.9,14.3,8.8,8.8,"7,451","13,180"
96,Mongolia,0.313,76,45,26.7,17.1,79.3,73.0,51.5,66.6,0.749,0.726,75.7,66.5,15.6,14.4,9.9,8.8,"8,541","12,666"
97,Egypt,0.443,109,37,44.8,22.9,81.6,76.6,15.4,67.1,0.666,0.755,72.6,67.9,13.8,13.7,9.8,9.4,"3,536","19,741"
97,Tunisia,0.259,61,43,6.7,26.3,42.9,51.8,25.5,67.2,0.697,0.748,77.1,70.7,16.5,14.5,6.9,8.0,"4,870","15,778"
99,Fiji,0.318,77,34,26.8,21.6,90.2,87.9,37.7,75.3,0.698,0.750,68.9,65.4,15.0,14.5,11.0,10.8,"5,664","14,270"
99,Suriname,0.427,105,120,56.1,29.4,69.9,70.7,43.4,65.1,0.728,0.727,73.6,67.2,14.2,11.9,9.9,9.6,"8,866","16,506"
101,Uzbekistan,0.227,56,29,15.9,28.7,99.9,100.0,44.9,70.9,0.703,0.744,73.4,68.3,12.4,12.6,11.7,12.1,"5,427","10,403"
102,Dominica,..,..,..,38.5,34.4,..,..,..,..,..,..,76.3,69.7,14.6,12.2,..,..,..,..
102,Jordan,0.471,118,46,25.4,11.8,77.4,84.2,13.5,62.3,0.663,0.748,76.8,72.1,10.8,10.5,10.1,10.8,"3,778","15,631"
104,Libya,0.259,61,72,6.9,16.0,70.5,45.1,34.1,61.0,0.708,0.726,74.4,69.6,13.1,12.6,8.5,7.2,"9,570","20,960"
105,Paraguay,0.445,111,84,70.3,16.8,52.5,54.0,59.6,84.2,0.713,0.720,73.4,67.4,13.6,12.4,8.9,8.9,"9,410","15,265"
106,"Palestine, State of",..,..,27,43.5,..,67.9,67.6,16.7,66.3,0.655,0.735,75.9,71.1,14.3,12.5,9.9,10.0,"2,250","10,937"
106,Saint Lucia,0.381,91,117,36.9,24.1,49.9,43.8,63.2,73.2,0.719,0.711,74.7,67.8,13.4,12.4,8.8,8.3,"9,991","14,147"
108,Guyana,0.454,114,169,66.6,35.7,69.5,62.2,40.3,64.1,0.704,0.720,69.1,62.5,12.8,12.2,8.7,8.5,"14,735","30,534"
109,South Africa,0.405,97,119,61.2,46.0,68.9,87.7,46.2,59.9,0.686,0.727,65.0,59.5,14.0,13.3,9.7,12.2,"9,935","16,129"
110,Jamaica,0.335,80,80,32.8,31.0,74.3,66.4,56.1,70.0,0.704,0.711,72.5,68.5,13.7,13.1,9.7,8.5,"6,982","10,715"
111,Samoa,0.418,99,43,43.6,7.8,79.1,71.6,30.7,54.2,0.685,0.716,75.5,70.3,13.0,11.9,11.8,11.0,"3,223","7,312"
112,Gabon,0.541,140,252,91.2,18.7,67.2,84.0,39.1,57.0,0.667,0.735,68.5,63.5,12.6,13.4,7.8,10.5,"9,376","17,212"
112,Lebanon,0.432,108,29,20.3,4.7,54.3,55.6,20.8,64.3,0.650,0.737,77.3,72.8,11.1,11.5,8.5,8.9,"3,815","15,586"
114,Indonesia,0.444,110,177,33.9,21.0,51.0,58.2,53.7,81.7,0.681,0.723,69.7,65.5,13.8,13.7,8.2,8.9,"7,906","14,976"
115,Vietnam,0.296,71,43,34.6,30.3,61.3,69.6,69.6,79.4,0.704,0.702,78.2,69.1,13.2,12.7,8.0,8.7,"6,932","8,826"
116,Philippines,0.419,101,121,48.2,28.0,73.4,69.1,43.8,68.3,0.695,0.702,71.5,67.2,13.5,12.8,9.2,8.7,"7,487","10,311"
117,Botswana,0.468,117,144,49.3,10.8,91.3,91.8,56.3,65.1,0.686,0.700,63.6,58.7,12.4,12.2,10.3,10.4,"13,839","18,618"
118,Bolivia (Plurinational State of),0.418,99,155,63.8,48.2,60.1,69.7,68.3,83.8,0.680,0.705,66.8,60.9,14.9,15.0,9.2,10.5,"6,856","9,359"
118,Kyrgyzstan,0.370,87,60,34.7,20.5,100.0,99.8,42.1,71.7,0.675,0.698,74.4,65.8,13.4,13.0,11.6,11.1,"2,863","6,331"
120,Venezuela (Bolivarian Republic of),0.492,123,125,82.7,22.2,79.8,75.4,34.3,67.8,0.679,0.691,75.2,66.3,13.8,11.8,11.4,10.8,"2,866","6,796"
121,Iraq,0.558,145,79,62.2,28.9,42.0,52.9,11.1,71.8,0.585,0.728,72.4,68.2,11.5,12.7,7.2,8.4,"2,184","17,748"
122,Tajikistan,0.285,68,17,45.4,23.4,93.5,94.6,30.2,50.5,0.648,0.713,73.7,69.6,11.2,12.1,10.9,11.8,"2,980","6,096"
123,Belize,0.364,86,36,57.1,19.6,54.5,49.8,46.9,76.8,0.672,0.689,74.3,67.1,13.3,12.7,9.0,8.7,"4,249","8,345"
123,Morocco,0.425,104,70,25.9,20.4,30.9,37.1,22.0,66.0,0.621,0.722,76.4,71.9,13.9,14.4,5.0,6.9,"3,194","11,356"
125,El Salvador,0.376,88,46,55.9,27.4,42.7,51.4,43.6,72.6,0.660,0.685,75.1,66.1,12.7,12.6,6.8,7.6,"5,824","11,015"
126,Nicaragua,0.424,102,98,85.6,50.5,51.2,49.7,46.8,81.3,0.648,0.678,76.8,70.8,12.7,12.6,7.4,6.8,"3,646","7,661"
127,Bhutan,0.415,98,183,19.0,16.7,23.6,32.3,51.6,67.4,0.641,0.684,73.8,70.1,13.6,12.8,4.5,5.8,"6,671","11,896"
128,Cabo Verde,0.349,84,58,55.2,38.9,28.8,31.2,46.9,61.7,0.653,0.666,78.5,69.6,12.8,12.3,6.0,6.6,"4,682","7,796"
129,Bangladesh,0.530,131,173,75.5,20.9,50.6,58.5,34.9,78.8,0.617,0.688,74.3,70.6,13.0,11.9,6.8,8.0,"2,811","8,176"
130,Tuvalu,..,..,..,33.1,6.3,60.0,60.7,..,..,..,..,69.1,60.8,9.5,9.3,10.4,10.8,..,..
131,Marshall Islands,..,..,..,58.0,6.1,91.6,92.5,..,..,..,..,67.2,63.7,10.4,10.1,10.7,11.1,..,..
132,India,0.490,122,133,17.2,13.4,41.8,53.8,19.2,70.1,0.567,0.668,68.9,65.8,11.9,11.8,6.3,7.2,"2,277","10,633"
133,Ghana,0.529,130,308,64.2,14.5,58.0,73.2,64.5,72.2,0.614,0.649,66.0,61.6,12.1,12.0,7.8,9.0,"4,723","6,771"
134,Micronesia (Federated States of),..,..,88,35.8,7.1,..,..,..,..,..,..,74.6,67.1,..,..,..,..,..,..
135,Guatemala,0.481,121,95,64.1,19.4,29.5,35.8,37.4,80.3,0.596,0.650,72.7,66.0,10.5,10.6,5.2,6.2,"4,909","12,614"
136,Kiribati,..,..,92,40.5,6.7,..,..,..,..,..,..,69.1,65.5,12.4,11.3,..,..,..,..
137,Honduras,0.431,107,65,72.0,27.3,35.8,44.8,42.3,78.9,0.607,0.633,72.5,67.9,10.4,9.9,6.8,7.4,"4,271","6,304"
138,Sao Tome and Principe,0.494,124,130,79.4,23.6,39.9,48.4,37.1,69.9,0.584,0.643,70.4,65.2,13.5,13.3,5.6,6.8,"2,415","5,635"
139,Namibia,0.445,111,195,64.9,35.6,41.5,44.1,54.5,62.2,0.616,0.613,63.0,55.7,11.9,11.9,7.5,6.9,"7,271","10,094"
140,Lao People's Democratic Republic,0.478,120,185,73.2,22.0,37.7,47.7,74.8,78.1,0.591,0.623,70.1,66.2,9.9,10.3,5.0,5.8,"6,757","8,627"
140,Timor-Leste,0.378,89,142,33.9,38.5,33.7,41.8,61.0,72.2,0.580,0.633,69.5,66.1,12.2,13.0,4.7,6.2,"3,642","5,248"
140,Vanuatu,..,..,72,64.1,0.0,..,..,59.7,78.0,..,..,72.9,68.4,11.4,11.7,..,..,"2,354","3,809"
143,Nepal,0.452,113,186,63.8,33.6,28.8,44.7,78.7,80.8,0.584,0.621,70.4,66.6,12.9,12.8,4.2,6.2,"3,677","4,095"
144,Eswatini (Kingdom of),0.540,138,437,69.9,18.4,34.0,36.2,45.6,53.6,0.593,0.601,61.2,53.4,13.2,14.2,5.7,5.5,"6,384","8,993"
145,Equatorial Guinea,..,..,301,139.7,20.3,..,..,49.9,58.5,..,..,62.7,58.8,..,..,4.2,7.6,"8,351","15,399"
146,Cambodia,0.461,116,160,45.5,19.8,18.3,31.7,74.0,85.9,0.570,0.615,72.3,66.8,11.0,11.9,4.4,5.9,"3,464","4,706"
146,Zimbabwe,0.532,134,458,94.3,34.6,61.8,72.4,79.3,88.9,0.580,0.604,62.0,56.2,12.0,12.3,8.3,9.2,"3,286","4,397"
148,Angola,0.537,136,241,138.4,29.5,28.2,51.5,74.0,79.1,0.557,0.617,64.3,59.0,11.5,12.9,4.2,6.9,"4,751","6,197"
149,Myanmar,0.498,125,250,33.0,15.0,38.5,47.8,41.0,70.0,0.565,0.599,69.0,62.5,11.1,10.7,6.1,6.7,"2,619","5,093"
150,Syrian Arab Republic,0.477,119,31,38.7,11.2,37.1,43.4,15.7,70.8,0.503,0.610,75.2,69.1,9.1,9.2,4.6,5.6,"1,285","7,088"
151,Cameroon,0.565,148,529,110.4,31.1,36.8,55.0,70.2,80.7,0.540,0.610,62.0,58.7,12.4,13.8,4.8,7.5,"2,981","4,264"
152,Kenya,0.506,128,342,64.2,23.2,31.1,37.7,71.0,75.6,0.557,0.592,64.1,58.9,10.3,11.1,6.1,7.3,"3,873","5,084"
153,Congo,0.564,147,378,103.6,13.6,48.0,52.0,65.1,67.6,0.552,0.590,64.9,62.1,12.2,12.4,5.6,6.8,"2,532","3,247"
154,Zambia,0.540,138,213,117.0,15.1,47.1,56.8,69.2,77.8,0.554,0.574,63.9,58.5,10.9,11.0,7.2,7.2,"2,615","3,837"
155,Solomon Islands,..,..,104,60.3,8.0,..,..,83.1,87.4,..,..,72.0,68.9,10.8,9.9,..,..,"2,173","2,777"
156,Comoros,..,..,273,58.2,16.7,..,..,32.1,54.5,0.522,0.585,65.8,61.2,12.2,11.7,4.0,6.0,"2,014","4,260"
156,Papua New Guinea,0.725,169,145,55.3,0.0,10.8,15.5,46.3,48.1,0.538,0.578,68.4,62.9,9.8,10.9,4.1,5.4,"3,543","4,445"
158,Mauritania,0.632,161,766,78.0,20.3,14.5,21.9,27.4,62.2,0.518,0.582,66.1,62.7,9.6,9.2,4.6,5.3,"2,604","7,650"
159,Côte d'Ivoire,0.613,155,617,105.0,15.6,23.9,32.2,45.9,64.9,0.516,0.581,59.9,57.4,10.0,11.3,4.7,5.7,"3,763","6,643"
160,Tanzania (United Republic of),0.560,146,524,123.7,36.9,13.0,19.1,79.5,87.1,0.532,0.565,68.3,64.2,9.3,9.1,5.9,6.9,"2,247","3,092"
161,Pakistan,0.534,135,140,42.3,19.9,22.1,28.7,20.7,78.1,0.471,0.582,68.6,63.8,8.1,9.2,3.9,5.0,"1,569","7,620"
162,Togo,0.580,149,396,77.9,18.7,13.9,42.3,55.5,59.4,0.497,0.586,62.4,60.8,12.2,14.3,3.4,6.8,"1,885","2,446"
163,Haiti,0.635,163,480,52.5,2.7,27.9,41.0,60.7,68.9,0.506,0.564,66.1,60.4,9.0,10.4,4.6,6.8,"2,408","3,295"
163,Nigeria,0.680,168,917,101.7,4.5,40.4,55.3,47.9,59.6,0.495,0.574,53.1,52.3,9.6,10.8,6.1,8.2,"3,759","5,800"
165,Rwanda,0.388,93,248,32.4,55.7,11.4,16.3,82.5,82.2,0.521,0.547,68.2,63.8,11.2,11.2,4.0,4.9,"1,990","2,440"
