Economy Code,HDI rank,Country,Gender Inequality Index (Value),Gender Inequality Index (Rank),Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,Population with at least some secondary education (F),Population with at least some secondary education (M),Labour force participation rate (F),Labour force participation rate (M),Human Development Index (F),Human Development Index (M),Life expectancy at birth (F),Life expectancy at birth (M),Expected years of schooling (F),Expected years of schooling (M),Mean years of schooling (F),Mean years of schooling (M),Estimated  gross national income per capita (F),Estimated  gross national income per capita (M),Unpaid domestic and care work (F),Unpaid domestic and care work (M),Mandatory equal remuneration by law,Firms with female participation in ownership (% of firms),Firms with female top manager (% of firms),Equity in signing a contract,Women Business and the Law Index Score (scale 1-100),Freedom on sexual relations and reproductive health care,"Part time employment, female (% of total part time employment)","Part time employment, male (% of total male employment)",Number of female business owners,Number of male business owners,WB&L: Parenthood Indicator,Requirement of obeying husband,Financial institution account owners (M),Financial institution account owners (F),Share of woman inventors,Region
JPN,19.0,Japan,0.083,22.0,5.0,2.9,14.2,95.9,92.7,53.3,71.0,0.908,0.936,87.7,81.8,15.2,15.2,13.3,13.4,30621.0,54597.0,15.13889,3.125,0.0,,,0,78.75,,62.4195738,25.31999969,,,100.0,1,98.5,98.1,8.1,Asia Pacific
,19.0,Korea (Republic of),0.067,15.0,11.0,2.2,19.0,83.1,93.1,53.4,72.4,0.894,0.947,86.8,80.4,16.1,16.9,11.9,13.2,29300.0,59737.0,,,,,,,,,,,,,,,,,,
USA,21.0,United States,0.179,44.0,19.0,16.0,27.0,96.5,96.4,55.2,66.4,0.92,0.919,80.2,74.3,16.9,15.6,13.7,13.6,51539.0,78238.0,15.33333,9.66667,0.0,,,1,91.25,,57.446041,19.89999962,,,80.0,1,93.6,92.7,12.4,North America
ISR,22.0,Israel,0.083,22.0,3.0,7.6,28.3,91.6,93.7,58.5,66.1,0.915,0.922,84.3,80.2,16.7,15.4,13.4,13.3,34960.0,48126.0,,,1.0,27.3,10.1,1,80.625,,60.910343,27.27000046,,,60.0,1,91.9,93.7,10.1,Middle  East
MLT,23.0,Malta,0.167,42.0,6.0,11.5,13.4,82.2,88.1,53.1,71.4,0.907,0.925,86.1,81.4,17.4,16.3,12.0,12.4,30282.0,46821.0,,,1.0,46.0,11.3,1,88.75,,52.8241676,31.95999908,931.0,4746.0,60.0,1,,,,Europe
SVN,23.0,Slovenia,0.071,18.0,7.0,4.5,21.5,97.6,98.7,53.8,62.2,0.915,0.916,83.8,77.6,18.4,16.9,12.8,12.8,33038.0,46386.0,,,1.0,34.1,18.8,1,96.875,,55.9724432,25.23999977,950.0,2577.0,100.0,1,98.2,96.9,8.4,Europe
AUT,25.0,Austria,0.053,12.0,5.0,5.5,39.3,100.0,100.0,55.5,66.3,0.906,0.924,84.1,79.0,16.4,15.6,12.0,12.6,43414.0,64148.0,,,1.0,,,1,96.875,,60.6380123,37.36999893,,,100.0,1,97.9,98.4,5.2,Europe
ARE,26.0,United Arab Emirates,0.049,11.0,3.0,3.1,50.0,82.0,85.6,46.5,88.0,0.877,0.921,80.9,77.2,16.5,15.2,12.5,12.8,28921.0,77318.0,,,1.0,,,1,82.5,,24.4481383,2.230000019,16921.0,176241.0,60.0,1,,,,Middle  East
ESP,27.0,Spain,0.057,14.0,4.0,6.3,42.3,78.5,83.2,52.7,62.4,0.896,0.909,85.8,80.2,18.4,17.4,10.5,10.7,31213.0,45784.0,18.95833,8.61111,1.0,,,1,100.0,,56.9650291,28.82999992,,,100.0,1,95.9,91.6,14.6,Europe
FRA,28.0,France,0.083,22.0,8.0,9.5,37.8,83.5,87.9,51.9,59.7,0.898,0.907,85.5,79.4,16.2,15.5,11.4,11.8,38403.0,53988.0,15.77314,9.49464,1.0,,,1,100.0,,57.4852577,36.13999939,,,100.0,1,97.0,91.3,11.3,Europe
CYP,29.0,Cyprus,0.123,35.0,6.0,6.8,14.3,81.1,84.8,56.6,68.8,0.882,0.907,83.2,79.2,15.7,15.6,12.4,12.5,30617.0,45735.0,,,1.0,45.1,8.2,1,94.375,,49.8252229,33.11999893,,,80.0,1,,,,Europe
ITA,30.0,Italy,0.056,13.0,2.0,4.0,35.3,78.6,86.1,39.9,57.6,0.879,0.906,85.1,80.5,16.6,15.9,10.6,10.9,31100.0,55187.0,20.4,8.4,1.0,24.0,15.3,1,97.5,,56.7138791,30.29000092,24377.0,90562.0,100.0,1,96.1,91.6,8.1,Europe
EST,31.0,Estonia,0.1,28.0,9.0,8.8,25.7,97.6,98.1,57.5,70.2,0.898,0.879,81.2,72.8,16.8,15.1,13.8,13.3,30995.0,45866.0,17.22222,10.76389,1.0,35.5,22.5,1,97.5,,55.7244787,28.01000023,6593.0,16453.0,100.0,1,97.5,98.4,16.2,Europe
