Economy Code,HDI rank,Country,Gender Inequality Index (Value),Gender Inequality Index (Rank),Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament,Population with at least some secondary education (F),Population with at least some secondary education (M),Labour force participation rate (F),Labour force participation rate (M),Human Development Index (F),Human Development Index (M),Life expectancy at birth (F),Life expectancy at birth (M),Expected years of schooling (F),Expected years of schooling (M),Mean years of schooling (F),Mean years of schooling (M),Estimated  gross national income per capita (F),Estimated  gross national income per capita (M),Unpaid domestic and care work (F),Unpaid domestic and care work (M),Mandatory equal remuneration by law,Firms with female participation in ownership (% of firms),Firms with female top manager (% of firms),Equity in signing a contract,Women Business and the Law Index Score (scale 1-100),Freedom on sexual relations and reproductive health care,"Part time employment, female (% of total part time employment)","Part time employment, male (% of total male employment)",Number of female business owners,Number of male business owners,WB&L: Parenthood Indicator,Requirement of obeying husband,Financial institution account owners (M),Financial institution account owners (F),Share of woman inventors,Region
BIH,74.0,Bosnia and Herzegovina,0.136,38.0,10.0,9.9,24.6,82.7,94.0,32.3,52.4,0.754,0.802,77.5,73.1,14.1,13.5,9.8,11.4,10709.0,19917.0,,,1.0,24.9,16.6,1,85.0,,50.6472806,9.300000191,,,80.0,1,,,,
,75.0,Saint Kitts and Nevis,,,,38.2,25.0,,,,,,,75.3,68.3,16.0,14.9,,,,,,,,,,,,,,,,,,,,,,
,76.0,Iran (Islamic Republic of),0.459,115.0,16.0,30.2,5.6,71.6,76.0,14.4,68.1,0.704,0.8,76.8,71.2,14.7,14.5,10.6,10.7,3767.0,22041.0,,,,,,,,,,,,,,,,,,
UKR,77.0,Ukraine,0.2,49.0,19.0,15.6,20.8,96.2,95.8,48.1,63.6,0.776,0.766,76.7,66.5,15.0,14.9,11.5,10.7,10370.0,16605.0,,,0.0,38.6,17.7,1,85.0,,63.2745131,11.26000023,,,80.0,1,,,,Europe
MKD,78.0,North Macedonia,0.134,37.0,7.0,16.4,41.7,61.9,75.1,42.4,63.4,0.746,0.789,76.2,71.7,13.9,13.4,9.7,10.8,11147.0,20716.0,15.41667,5.41667,0.0,29.3,21.3,1,85.0,88.1,45.5743074,22.35000038,1532.0,3594.0,80.0,1,,,,Europe
CHN,79.0,China,0.192,48.0,29.0,11.0,24.9,78.3,85.4,61.6,74.3,0.761,0.773,81.2,75.5,14.8,13.7,7.3,7.9,13980.0,20883.0,15.34722,5.90278,0.0,64.2,17.5,0,75.625,,,,,,80.0,1,,,,Asia Pacific
DOM,80.0,Dominican Republic,0.429,106.0,95.0,65.6,25.7,77.4,76.9,49.6,75.2,0.772,0.761,76.3,69.3,15.4,13.6,9.6,9.0,13695.0,22248.0,16.70887,3.78561,0.0,32.2,21.2,1,86.25,,47.9206008,31.86000061,,,60.0,1,,,,South America
,80.0,Moldova (Republic of),0.205,51.0,19.0,27.8,39.6,96.1,98.0,33.9,43.9,0.771,0.763,73.5,64.4,14.8,14.1,11.9,11.8,12087.0,17961.0,,,,,,,,,,,,,,,,,,
PLW,80.0,Palau,,,,42.5,6.9,96.9,97.3,,,,,70.6,62.4,16.0,15.5,,,,,,,0.0,,,0,56.25,,,0.0,,,0.0,1,,,,
CUB,83.0,Cuba,0.303,73.0,36.0,48.8,53.4,89.5,91.9,40.3,68.5,0.745,0.775,76.4,71.2,15.1,13.8,12.6,12.4,5103.0,10693.0,21.0,12.47024,,,,,,,61.8851612,1.24000001,,,,,,,,South America
PER,84.0,Peru,0.38,90.0,88.0,56.8,40.0,59.3,69.9,66.1,81.9,0.742,0.781,74.7,70.1,15.2,15.5,9.3,10.5,9813.0,14727.0,23.56031,8.94605,1.0,56.6,19.9,1,95.0,,52.4572987,39.56999969,,,80.0,1,,,,South America
ARM,85.0,Armenia,0.216,53.0,26.0,18.5,33.6,96.0,97.1,42.7,63.0,0.757,0.756,77.4,66.6,13.8,12.5,11.3,11.3,8736.0,18558.0,,,0.0,27.4,19.1,0,87.5,66.0,59.5650599,17.45999908,,,100.0,1,,,,Europe
MEX,86.0,Mexico,0.309,75.0,33.0,54.4,49.8,65.1,66.7,43.8,75.4,0.753,0.761,74.9,66.1,15.2,14.5,9.1,9.4,12456.0,23600.0,27.76825,11.11167,0.0,25.7,14.6,1,88.75,,54.161304,19.14999962,,,60.0,1,38.6,32.7,9.7,North America
BRA,87.0,Brazil,0.39,94.0,60.0,45.2,14.8,62.4,59.1,49.1,68.2,0.75,0.755,76.0,69.6,16.0,15.2,8.3,7.9,10903.0,17960.0,11.60814,5.13276,0.0,,,0,85.0,,53.4354149,25.59000015,,,80.0,1,,,,South America
COL,88.0,Colombia,0.424,102.0,83.0,59.0,19.6,58.9,56.5,52.2,78.0,0.744,0.756,76.4,69.4,14.7,14.2,9.0,8.7,10281.0,18599.0,5.02051,2.92763,0.0,66.9,18.9,0,84.375,,57.4988865,18.17000008,,,100.0,1,48.8,41.4,16.8,South America
,89.0,Saint Vincent and the Grenadines,0.39,94.0,68.0,47.9,18.2,44.1,39.6,52.9,74.1,0.739,0.761,72.4,67.4,14.9,14.5,10.9,10.7,8720.0,15075.0,,,,,,,,,,,,,,,,,,
MDV,90.0,Maldives,0.348,83.0,53.0,7.3,4.6,46.4,41.5,34.3,67.5,0.709,0.766,81.0,79.1,14.2,11.9,7.1,7.5,6359.0,22119.0,,,0.0,,,1,73.75,57.9,41.7993893,10.82999992,,,40.0,1,,,,Asia Pacific
DZA,91.0,Algeria,0.499,126.0,112.0,11.7,7.5,46.0,56.9,15.7,64.5,0.68,0.773,78.0,74.9,15.3,14.0,7.7,8.4,3550.0,17787.0,21.66667,3.75,1.0,,,0,57.5,,33.9731698,15.67000008,656.0,8816.0,60.0,1,,,,Arab States
AZE,91.0,Azerbaijan,0.294,70.0,26.0,40.1,18.2,93.6,97.6,60.4,67.3,0.734,0.753,73.3,65.6,13.6,13.4,10.2,10.9,10536.0,18076.0,,,0.0,15.3,16.5,1,78.75,,59.2337605,15.14000034,2225.0,11693.0,80.0,1,,,,Asia Pacific
TON,91.0,Tonga,0.631,160.0,52.0,19.0,0.0,93.5,93.1,37.3,55.3,0.728,0.754,73.7,68.4,16.3,15.7,11.5,11.2,4842.0,8845.0,,,0.0,,,0,58.75,,43.4602859,29.64999962,,,0.0,1,,,,Asia Pacific
TKM,91.0,Turkmenistan,0.177,43.0,7.0,21.8,25.0,93.5,92.2,36.5,55.6,0.726,0.76,72.7,65.9,13.0,13.4,10.9,11.6,9227.0,16884.0,,,,,,,,59.3,,,,,,,,,,Asia Pacific
ECU,95.0,Ecuador,0.362,85.0,59.0,63.2,39.4,53.0,52.0,53.3,76.5,0.731,0.745,77.5,70.3,14.9,14.3,8.8,8.8,7451.0,13180.0,19.74505,4.72192,1.0,70.4,22.9,0,89.375,86.7,46.1399541,42.45999908,,,40.0,1,,,,South America
MNG,96.0,Mongolia,0.313,76.0,45.0,26.7,17.1,79.3,73.0,51.5,66.6,0.749,0.726,75.7,66.5,15.6,14.4,9.9,8.8,8541.0,12666.0,19.29129,7.59633,0.0,43.7,38.9,1,85.0,63.2,51.4795337,8.930000305,8135.0,13950.0,80.0,1,,,,Asia Pacific
,97.0,Egypt,0.443,109.0,37.0,44.8,22.9,81.6,76.6,15.4,67.1,0.666,0.755,72.6,67.9,13.8,13.7,9.8,9.4,3536.0,19741.0,,,,,,,,,,,,,,,,,,Middle  East
TUN,97.0,Tunisia,0.259,61.0,43.0,6.7,26.3,42.9,51.8,25.5,67.2,0.697,0.748,77.1,70.7,16.5,14.5,6.9,8.0,4870.0,15778.0,,,0.0,40.1,10.4,0,64.375,,39.446063,9.569999695,,,40.0,1,,,,Arab States
FJI,99.0,Fiji,0.318,77.0,34.0,26.8,21.6,90.2,87.9,37.7,75.3,0.698,0.75,68.9,65.4,15.0,14.5,11.0,10.8,5664.0,14270.0,15.15812,5.19476,0.0,,,0,82.5,,,,,,60.0,1,,,,Asia Pacific
SUR,99.0,Suriname,0.427,105.0,120.0,56.1,29.4,69.9,70.7,43.4,65.1,0.728,0.727,73.6,67.2,14.2,11.9,9.9,9.6,8866.0,16506.0,,,0.0,32.7,11.9,0,73.75,,50.939727,27.48999977,,,60.0,1,,,,South America
UZB,101.0,Uzbekistan,0.227,56.0,29.0,15.9,28.7,99.9,100.0,44.9,70.9,0.703,0.744,73.4,68.3,12.4,12.6,11.7,12.1,5427.0,10403.0,,,0.0,25.9,12.4,1,70.625,,,,,,60.0,1,,,,Asia Pacific
DMA,102.0,Dominica,,,,38.5,34.4,,,,,,,76.3,69.7,14.6,12.2,,,,,,,0.0,41.0,23.6,0,62.5,,,,110.0,320.0,0.0,1,,,,
JOR,102.0,Jordan,0.471,118.0,46.0,25.4,11.8,77.4,84.2,13.5,62.3,0.663,0.748,76.8,72.1,10.8,10.5,10.1,10.8,3778.0,15631.0,,,1.0,22.6,3.1,1,46.875,60.7,27.4289062,8.789999962,1322.0,6087.0,40.0,0,,,,Middle  East
LBY,104.0,Libya,0.259,61.0,72.0,6.9,16.0,70.5,45.1,34.1,61.0,0.708,0.726,74.4,69.6,13.1,12.6,8.5,7.2,9570.0,20960.0,,,1.0,,,0,50.0,,,,,,40.0,1,,,,Middle  East
PRY,105.0,Paraguay,0.445,111.0,84.0,70.3,16.8,52.5,54.0,59.6,84.2,0.713,0.72,73.4,67.4,13.6,12.4,8.9,8.9,9410.0,15265.0,14.52502,4.27041,1.0,66.2,19.6,1,94.375,,57.2039351,16.80999947,,,80.0,1,,,,South America
,106.0,"Palestine, State of",,,27.0,43.5,,67.9,67.6,16.7,66.3,0.655,0.735,75.9,71.1,14.3,12.5,9.9,10.0,2250.0,10937.0,,,,,,,,,,,,,,,,,,
,106.0,Saint Lucia,0.381,91.0,117.0,36.9,24.1,49.9,43.8,63.2,73.2,0.719,0.711,74.7,67.8,13.4,12.4,8.8,8.3,9991.0,14147.0,,,,,,,,,,,,,,,,,,
GUY,108.0,Guyana,0.454,114.0,169.0,66.6,35.7,69.5,62.2,40.3,64.1,0.704,0.72,69.1,62.5,12.8,12.2,8.7,8.5,14735.0,30534.0,,,1.0,58.3,17.7,1,86.875,,,,,,40.0,1,,,,South America
ZAF,109.0,South Africa,0.405,97.0,119.0,61.2,46.0,68.9,87.7,46.2,59.9,0.686,0.727,65.0,59.5,14.0,13.3,9.7,12.2,9935.0,16129.0,15.55556,6.45833,1.0,10.6,38.5,1,88.125,64.9,54.8921701,16.31999969,,,80.0,1,,,,Africa
JAM,110.0,Jamaica,0.335,80.0,80.0,32.8,31.0,74.3,66.4,56.1,70.0,0.704,0.711,72.5,68.5,13.7,13.1,9.7,8.5,6982.0,10715.0,,,0.0,38.2,24.1,0,68.125,,51.7596647,9.529999733,1462.0,3183.0,20.0,1,,,,South America
WSM,111.0,Samoa,0.418,99.0,43.0,43.6,7.8,79.1,71.6,30.7,54.2,0.685,0.716,75.5,70.3,13.0,11.9,11.8,11.0,3223.0,7312.0,,,0.0,,,0,75.0,,25.415261,19.21999931,85.0,167.0,40.0,1,,,,Asia Pacific
GAB,112.0,Gabon,0.541,140.0,252.0,91.2,18.7,67.2,84.0,39.1,57.0,0.667,0.735,68.5,63.5,12.6,13.4,7.8,10.5,9376.0,17212.0,,,0.0,,,1,82.5,48.0,,,,,80.0,1,,,,Africa
LBN,112.0,Lebanon,0.432,108.0,29.0,20.3,4.7,54.3,55.6,20.8,64.3,0.65,0.737,77.3,72.8,11.1,11.5,8.5,8.9,3815.0,15586.0,,,0.0,9.9,5.9,0,58.75,,30.2511266,17.27000046,,,20.0,1,,,,Middle  East
IDN,114.0,Indonesia,0.444,110.0,177.0,33.9,21.0,51.0,58.2,53.7,81.7,0.681,0.723,69.7,65.5,13.8,13.7,8.2,8.9,7906.0,14976.0,,,0.0,22.1,22.1,0,64.375,,50.0918556,29.54000092,,,40.0,1,,,,Asia Pacific
VNM,115.0,Vietnam,0.296,71.0,43.0,34.6,30.3,61.3,69.6,69.6,79.4,0.704,0.702,78.2,69.1,13.2,12.7,8.0,8.7,6932.0,8826.0,,,1.0,51.1,22.4,1,85.0,,52.9176875,18.53000069,,,80.0,1,,,,Asia Pacific
PHL,116.0,Philippines,0.419,101.0,121.0,48.2,28.0,73.4,69.1,43.8,68.3,0.695,0.702,71.5,67.2,13.5,12.8,9.2,8.7,7487.0,10311.0,,,1.0,69.2,29.9,1,78.75,81.0,40.1344449,36.90000153,,,60.0,1,,,,Asia Pacific
BWA,117.0,Botswana,0.468,117.0,144.0,49.3,10.8,91.3,91.8,56.3,65.1,0.686,0.7,63.6,58.7,12.4,12.2,10.3,10.4,13839.0,18618.0,,,0.0,55.3,16.5,0,63.75,,54.4593022,12.43000031,,,0.0,1,,,,Africa
,118.0,Bolivia (Plurinational State of),0.418,99.0,155.0,63.8,48.2,60.1,69.7,68.3,83.8,0.68,0.705,66.8,60.9,14.9,15.0,9.2,10.5,6856.0,9359.0,,,,,,,,,,,,,,,,,,
,118.0,Kyrgyzstan,0.37,87.0,60.0,34.7,20.5,100.0,99.8,42.1,71.7,0.675,0.698,74.4,65.8,13.4,13.0,11.6,11.1,2863.0,6331.0,,,,,,,,,,,,,,,,,,Asia Pacific
,120.0,Venezuela (Bolivarian Republic of),0.492,123.0,125.0,82.7,22.2,79.8,75.4,34.3,67.8,0.679,0.691,75.2,66.3,13.8,11.8,11.4,10.8,2866.0,6796.0,,,,,,,,,,,,,,,,,,
IRQ,121.0,Iraq,0.558,145.0,79.0,62.2,28.9,42.0,52.9,11.1,71.8,0.585,0.728,72.4,68.2,11.5,12.7,7.2,8.4,2184.0,17748.0,,,1.0,6.8,2.3,0,45.0,,11.582155,23.63999939,,,20.0,0,,,,Middle  East
TJK,122.0,Tajikistan,0.285,68.0,17.0,45.4,23.4,93.5,94.6,30.2,50.5,0.648,0.713,73.7,69.6,11.2,12.1,10.9,11.8,2980.0,6096.0,,,1.0,22.7,6.6,1,78.75,33.0,,,97.0,1150.0,80.0,1,,,,Asia Pacific
BLZ,123.0,Belize,0.364,86.0,36.0,57.1,19.6,54.5,49.8,46.9,76.8,0.672,0.689,74.3,67.1,13.3,12.7,9.0,8.7,4249.0,8345.0,,,0.0,30.4,25.5,0,79.375,,48.0901934,20.70999908,,,60.0,1,,,,South America
MAR,123.0,Morocco,0.425,104.0,70.0,25.9,20.4,30.9,37.1,22.0,66.0,0.621,0.722,76.4,71.9,13.9,14.4,5.0,6.9,3194.0,11356.0,20.83333,2.98611,1.0,16.1,5.4,1,75.625,,58.0628318,11.85000038,11225.0,56003.0,80.0,1,,,,Arab States
SLV,125.0,El Salvador,0.376,88.0,46.0,55.9,27.4,42.7,51.4,43.6,72.6,0.66,0.685,75.1,66.1,12.7,12.6,6.8,7.6,5824.0,11015.0,20.21275,7.02928,0.0,38.4,28.0,1,88.75,,50.8386504,17.29999924,,,80.0,1,,,,South America
NIC,126.0,Nicaragua,0.424,102.0,98.0,85.6,50.5,51.2,49.7,46.8,81.3,0.648,0.678,76.8,70.8,12.7,12.6,7.4,6.8,3646.0,7661.0,,,0.0,35.8,27.0,1,86.25,,50.3916681,26.56999969,,,40.0,1,,,,South America
BTN,127.0,Bhutan,0.415,98.0,183.0,19.0,16.7,23.6,32.3,51.6,67.4,0.641,0.684,73.8,70.1,13.6,12.8,4.5,5.8,6671.0,11896.0,15.0,5.90278,1.0,43.3,26.3,0,71.875,,53.7857117,5.610000134,37.0,74.0,40.0,1,,,,Asia Pacific
CPV,128.0,Cabo Verde,0.349,84.0,58.0,55.2,38.9,28.8,31.2,46.9,61.7,0.653,0.666,78.5,69.6,12.8,12.3,6.0,6.6,4682.0,7796.0,,,0.0,,,1,86.25,,52.6000649,20.04999924,,,40.0,1,,,,Africa
BGD,129.0,Bangladesh,0.53,131.0,173.0,75.5,20.9,50.6,58.5,34.9,78.8,0.617,0.688,74.3,70.6,13.0,11.9,6.8,8.0,2811.0,8176.0,,,0.0,12.7,4.8,0,49.375,64.3,62.5714615,10.06000042,,,20.0,1,,,,Asia Pacific
TUV,130.0,Tuvalu,,,,33.1,6.3,60.0,60.7,,,,,69.1,60.8,9.5,9.3,10.4,10.8,,,,,,,,,,,,45.43999863,,,,,,,,
MHL,131.0,Marshall Islands,,,,58.0,6.1,91.6,92.5,,,,,67.2,63.7,10.4,10.1,10.7,11.1,,,,,1.0,,,1,65.625,,,15.52999973,,,0.0,1,,,,
IND,132.0,India,0.49,122.0,133.0,17.2,13.4,41.8,53.8,19.2,70.1,0.567,0.668,68.9,65.8,11.9,11.8,6.3,7.2,2277.0,10633.0,,,0.0,10.7,8.9,0,74.375,,,,,,40.0,1,,,,Asia Pacific
GHA,133.0,Ghana,0.529,130.0,308.0,64.2,14.5,58.0,73.2,64.5,72.2,0.614,0.649,66.0,61.6,12.1,12.0,7.8,9.0,4723.0,6771.0,,,0.0,31.6,14.9,0,75.0,52.0,50.9619397,27.39999962,,,20.0,1,,,,Africa
,134.0,Micronesia (Federated States of),,,88.0,35.8,7.1,,,,,,,74.6,67.1,,,,,,,,,,,,,,,,,,,,,,,,
GTM,135.0,Guatemala,0.481,121.0,95.0,64.1,19.4,29.5,35.8,37.4,80.3,0.596,0.65,72.7,66.0,10.5,10.6,5.2,6.2,4909.0,12614.0,19.48273,2.60537,0.0,31.5,18.5,0,70.625,64.8,47.5927049,22.75,,,60.0,1,,,,South America
KIR,136.0,Kiribati,,,92.0,40.5,6.7,,,,,,,69.1,65.5,12.4,11.3,,,,,,,1.0,,,0,76.25,,,8.220000267,1.0,3.0,20.0,1,,,,
HND,137.0,Honduras,0.431,107.0,65.0,72.0,27.3,35.8,44.8,42.3,78.9,0.607,0.633,72.5,67.9,10.4,9.9,6.8,7.4,4271.0,6304.0,,,0.0,54.7,28.0,1,75.0,70.3,47.4343991,24.51000023,,,20.0,1,,,,South America
STP,138.0,Sao Tome and Principe,0.494,124.0,130.0,79.4,23.6,39.9,48.4,37.1,69.9,0.584,0.643,70.4,65.2,13.5,13.3,5.6,6.8,2415.0,5635.0,,,0.0,,,0,83.125,,,,,,60.0,1,,,,
NAM,139.0,Namibia,0.445,111.0,195.0,64.9,35.6,41.5,44.1,54.5,62.2,0.616,0.613,63.0,55.7,11.9,11.9,7.5,6.9,7271.0,10094.0,,,1.0,41.0,27.4,0,86.25,71.2,60.5451985,20.28000069,,,40.0,1,,,,Africa
,140.0,Lao People's Democratic Republic,0.478,120.0,185.0,73.2,22.0,37.7,47.7,74.8,78.1,0.591,0.623,70.1,66.2,9.9,10.3,5.0,5.8,6757.0,8627.0,,,,,,,,,,,,,,,,,,
TLS,140.0,Timor-Leste,0.378,89.0,142.0,33.9,38.5,33.7,41.8,61.0,72.2,0.58,0.633,69.5,66.1,12.2,13.0,4.7,6.2,3642.0,5248.0,,,1.0,64.4,27.0,0,86.25,40.0,54.1265615,40.20999908,,,60.0,1,,,,Asia Pacific
VUT,140.0,Vanuatu,,,72.0,64.1,0.0,,,59.7,78.0,,,72.9,68.4,11.4,11.7,,,2354.0,3809.0,,,0.0,,,1,55.625,,36.1875266,32.70999908,292.0,825.0,0.0,1,,,,
NPL,143.0,Nepal,0.452,113.0,186.0,63.8,33.6,28.8,44.7,78.7,80.8,0.584,0.621,70.4,66.6,12.9,12.8,4.2,6.2,3677.0,4095.0,,,1.0,21.8,17.2,0,80.625,47.7,77.7832702,24.07999992,3760.0,22700.0,40.0,1,,,,Asia Pacific
,144.0,Eswatini (Kingdom of),0.54,138.0,437.0,69.9,18.4,34.0,36.2,45.6,53.6,0.593,0.601,61.2,53.4,13.2,14.2,5.7,5.5,6384.0,8993.0,,,,,,,,,,,,,,,,,,
GNQ,145.0,Equatorial Guinea,,,301.0,139.7,20.3,,,49.9,58.5,,,62.7,58.8,,,4.2,7.6,8351.0,15399.0,,,1.0,,,0,51.875,,,,,,60.0,0,,,,Africa
KHM,146.0,Cambodia,0.461,116.0,160.0,45.5,19.8,18.3,31.7,74.0,85.9,0.57,0.615,72.3,66.8,11.0,11.9,4.4,5.9,3464.0,4706.0,,,0.0,46.2,57.3,1,81.25,75.6,55.279724,19.29999924,3247.0,10507.0,20.0,1,,,,Asia Pacific
ZWE,146.0,Zimbabwe,0.532,134.0,458.0,94.3,34.6,61.8,72.4,79.3,88.9,0.58,0.604,62.0,56.2,12.0,12.3,8.3,9.2,3286.0,4397.0,,,0.0,42.5,16.3,1,86.875,59.9,60.4684257,35.36999893,,,40.0,1,,,,Africa
AGO,148.0,Angola,0.537,136.0,241.0,138.4,29.5,28.2,51.5,74.0,79.1,0.557,0.617,64.3,59.0,11.5,12.9,4.2,6.9,4751.0,6197.0,,,1.0,56.6,13.5,1,79.375,62.0,,,,,60.0,1,,,,Africa
MMR,149.0,Myanmar,0.498,125.0,250.0,33.0,15.0,38.5,47.8,41.0,70.0,0.565,0.599,69.0,62.5,11.1,10.7,6.1,6.7,2619.0,5093.0,,,0.0,35.1,41.1,0,58.75,67.5,45.1500024,12.75,2949.0,7091.0,60.0,1,,,,Asia Pacific
SYR,150.0,Syrian Arab Republic,0.477,119.0,31.0,38.7,11.2,37.1,43.4,15.7,70.8,0.503,0.61,75.2,69.1,9.1,9.2,4.6,5.6,1285.0,7088.0,,,0.0,,,0,40.0,,,,,,40.0,1,,,,
CMR,151.0,Cameroon,0.565,148.0,529.0,110.4,31.1,36.8,55.0,70.2,80.7,0.54,0.61,62.0,58.7,12.4,13.8,4.8,7.5,2981.0,4264.0,15.82086,4.56784,0.0,39.7,22.9,0,60.0,48.5,53.4387386,31.93000031,,,80.0,1,,,,Africa
KEN,152.0,Kenya,0.506,128.0,342.0,64.2,23.2,31.1,37.7,71.0,75.6,0.557,0.592,64.1,58.9,10.3,11.1,6.1,7.3,3873.0,5084.0,,,1.0,47.5,18.1,0,80.625,56.0,60.1220371,20.70000076,,,40.0,1,,,,Africa
,153.0,Congo,0.564,147.0,378.0,103.6,13.6,48.0,52.0,65.1,67.6,0.552,0.59,64.9,62.1,12.2,12.4,5.6,6.8,2532.0,3247.0,,,,,,,,,,,,,,,,,,
ZMB,154.0,Zambia,0.54,138.0,213.0,117.0,15.1,47.1,56.8,69.2,77.8,0.554,0.574,63.9,58.5,10.9,11.0,7.2,7.2,2615.0,3837.0,,,1.0,41.5,12.9,1,81.25,49.3,60.4156756,26.93000031,4481.0,16092.0,40.0,1,,,,Africa
SLB,155.0,Solomon Islands,,,104.0,60.3,8.0,,,83.1,87.4,,,72.0,68.9,10.8,9.9,,,2173.0,2777.0,,,0.0,47.4,22.6,0,56.875,,53.4537898,17.95999908,,,0.0,1,,,,
COM,156.0,Comoros,,,273.0,58.2,16.7,,,32.1,54.5,0.522,0.585,65.8,61.2,12.2,11.7,4.0,6.0,2014.0,4260.0,,,1.0,,,0,65.0,20.8,43.5436579,18.73999977,,,40.0,1,,,,Arab States
PNG,156.0,Papua New Guinea,0.725,169.0,145.0,55.3,0.0,10.8,15.5,46.3,48.1,0.538,0.578,68.4,62.9,9.8,10.9,4.1,5.4,3543.0,4445.0,,,0.0,46.5,13.8,0,60.0,56.7,,,,,0.0,1,,,,Asia Pacific
MRT,158.0,Mauritania,0.632,161.0,766.0,78.0,20.3,14.5,21.9,27.4,62.2,0.518,0.582,66.1,62.7,9.6,9.2,4.6,5.3,2604.0,7650.0,,,0.0,15.0,4.5,0,48.125,,,,105.0,854.0,60.0,0,,,,Arab States
,159.0,Côte d'Ivoire,0.613,155.0,617.0,105.0,15.6,23.9,32.2,45.9,64.9,0.516,0.581,59.9,57.4,10.0,11.3,4.7,5.7,3763.0,6643.0,,,,,,,,,,,,,,,,,,
,160.0,Tanzania (United Republic of),0.56,146.0,524.0,123.7,36.9,13.0,19.1,79.5,87.1,0.532,0.565,68.3,64.2,9.3,9.1,5.9,6.9,2247.0,3092.0,,,,,,,,,,,,,,,,,,
PAK,161.0,Pakistan,0.534,135.0,140.0,42.3,19.9,22.1,28.7,20.7,78.1,0.471,0.582,68.6,63.8,8.1,9.2,3.9,5.0,1569.0,7620.0,,,0.0,11.8,6.0,0,55.625,40.3,65.5733925,5.360000134,5198.0,30817.0,20.0,1,,,,Asia Pacific
TGO,162.0,Togo,0.58,149.0,396.0,77.9,18.7,13.9,42.3,55.5,59.4,0.497,0.586,62.4,60.8,12.2,14.3,3.4,6.8,1885.0,2446.0,,,1.0,25.3,11.4,0,81.875,29.6,,,506.0,1628.0,40.0,1,,,,Africa
HTI,163.0,Haiti,0.635,163.0,480.0,52.5,2.7,27.9,41.0,60.7,68.9,0.506,0.564,66.1,60.4,9.0,10.4,4.6,6.8,2408.0,3295.0,,,1.0,,,0,61.25,59.0,48.937511,26.06999969,,,40.0,1,,,,South America
NGA,163.0,Nigeria,0.68,168.0,917.0,101.7,4.5,40.4,55.3,47.9,59.6,0.495,0.574,53.1,52.3,9.6,10.8,6.1,8.2,3759.0,5800.0,,,0.0,16.2,13.9,0,63.125,46.3,51.874343,28.04000092,178937.0,354579.0,0.0,1,,,,Africa
RWA,165.0,Rwanda,0.388,93.0,248.0,32.4,55.7,11.4,16.3,82.5,82.2,0.521,0.547,68.2,63.8,11.2,11.2,4.0,4.9,1990.0,2440.0,,,1.0,26.5,21.8,0,83.75,69.5,56.851874,53.04999924,,,20.0,1,,,,Africa
BEN,166.0,Benin,0.602,152.0,397.0,92.3,8.4,21.1,34.4,69.3,72.6,0.491,0.558,61.4,58.2,9.9,11.6,3.3,5.4,2998.0,3819.0,,,1.0,36.7,25.9,0,80.625,35.7,59.8511986,20.18000031,640.0,2701.0,60.0,1,,,,Africa
UGA,166.0,Uganda,0.53,131.0,375.0,107.9,33.8,29.3,36.3,64.2,71.3,0.505,0.545,64.9,60.4,10.2,10.1,4.9,6.7,1877.0,2492.0,14.58333,7.5,1.0,26.6,15.4,0,73.125,62.0,54.6224899,38.38000107,,,40.0,1,,,,Africa
LSO,168.0,Lesotho,0.557,144.0,544.0,89.6,22.9,27.2,24.6,56.1,71.3,0.511,0.519,55.9,50.4,12.4,11.7,6.6,6.0,2107.0,3310.0,,,1.0,39.1,36.2,0,78.125,60.9,51.2338226,9.369999886,2438.0,4821.0,20.0,1,,,,Africa
MWI,169.0,Malawi,0.554,142.0,349.0,117.9,22.9,21.3,28.4,71.6,80.0,0.502,0.519,66.5,59.5,12.8,12.5,4.1,4.7,1232.0,1713.0,,,1.0,28.1,14.2,0,77.5,46.7,54.1958325,45.34000015,,,20.0,1,,,,Africa
SEN,170.0,Senegal,0.53,131.0,315.0,66.5,43.0,11.1,30.9,33.5,56.7,0.475,0.543,69.3,64.8,9.5,8.5,1.6,4.5,2258.0,4468.0,,,0.0,22.9,14.1,0,66.875,7.0,47.3316584,56.91999817,,,60.0,1,,,,Africa
DJI,171.0,Djibouti,,,248.0,22.7,26.2,,,17.2,44.1,,,65.0,59.7,7.5,7.4,,,2179.0,7911.0,,,1.0,22.3,14.2,1,68.125,,,,,,60.0,0,,,,Arab States
SDN,172.0,Sudan,0.553,141.0,295.0,79.9,31.0,16.4,20.1,28.7,67.8,0.466,0.535,67.9,62.7,7.7,8.1,3.4,4.2,1833.0,5320.0,,,0.0,8.2,3.4,0,29.375,,,,,,20.0,0,,,,Arab States
MDG,173.0,Madagascar,0.556,143.0,335.0,119.4,17.2,27.3,29.8,81.5,87.6,0.49,0.512,66.9,62.2,10.2,10.1,4.9,5.3,1284.0,1682.0,,,0.0,41.6,28.2,0,71.875,,59.5245872,25.90999985,,,40.0,1,,,,Africa
,174.0,Gambia,0.611,153.0,597.0,63.2,8.6,29.9,43.2,48.9,66.3,0.481,0.52,63.5,60.7,10.3,8.5,3.8,5.6,1649.0,2701.0,,,,,,,,,,,,,,,,,,Africa
